Close,High,Low,Open,Volume,predicted_up_rate,predicted_Low_rate,Close_3ma,Close_3ma_positive,Close_5ma,Close_5ma_positive,Close_10ma,Close_10ma_positive,Close_25ma,Close_25ma_positive,Close_60ma,Close_60ma_positive,Close_100ma,Close_100ma_positive,Close_200ma,Close_200ma_positive
590.793,611.489,590.793,608.532,627618.6352,99.5,97.5,599.7,1,593.8,1,579.3,1,544.7,1,500.8,1,485.1,1,486.3,1
578.998,596.706,576.042,587.837,670950.7075,106.60000000000001,96.89999999999999,591.8,-1,592.6,-1,582.8,1,547.7,1,503.1,1,486.1,1,487.0,1
561.262,576.042,561.262,576.042,563638.61,110.00000000000001,98.9,577.0,-1,587.8,-1,582.5,-1,549.7,1,505.2,1,486.8,1,487.7,1
578.998,578.998,555.35,555.35,690244.4326,106.60000000000001,99.5,573.1,-1,583.1,-1,582.8,1,551.9,1,507.4,1,487.6,1,488.3,1
587.837,593.75,576.042,578.998,787401.4301,105.0,98.5,576.0,1,579.6,-1,585.5,1,554.4,1,509.9,1,488.5,1,489.1,1
617.398,617.398,578.998,584.911,1448869.326,98.1,96.6,594.7,1,584.9,1,589.3,1,557.8,1,513.0,1,489.8,1,490.0,1
599.663,620.354,596.706,617.398,2137418.562,101.0,99.5,601.6,1,589.0,1,590.8,1,560.9,1,515.3,1,491.0,1,490.8,1
605.576,614.445,596.706,605.576,1108993.537,100.0,96.6,607.5,1,597.9,1,592.9,1,564.7,1,518.0,1,492.3,1,491.6,1
590.793,608.532,584.911,605.576,720371.9799,102.49999999999999,96.5,598.7,-1,600.3,1,591.7,-1,567.6,1,520.1,1,493.5,1,492.3,1
570.129,590.793,570.129,578.998,619493.2685,106.2,100.49999999999999,588.8,-1,596.7,-1,588.1,-1,569.8,1,521.9,1,494.5,1,492.9,1
602.619,605.576,573.085,573.085,1234586.101,100.49999999999999,98.0,587.8,-1,593.8,-1,589.3,1,572.8,1,524.2,1,496.0,1,493.3,1
605.576,614.445,590.793,602.619,1527408.104,100.49999999999999,99.0,592.8,1,594.9,1,592.0,1,576.0,1,526.8,1,497.5,1,493.9,1
605.576,611.489,599.663,602.619,1196333.187,100.49999999999999,96.1,604.6,1,594.9,-1,596.4,1,579.7,1,528.8,1,499.0,1,494.4,1
