,Close_3ma_positive,Close_5ma_positive,予想上昇率,予想下落率,翌日の最安値,翌日の最高値,トリガー
0,-1,-1,101.33653846153847,,98.41153846153846,,+ 3ma 5ma:change
1,-1,-1,,98.79938080495356,,101.34458204334365,△ 3ma 5ma:change
2,1,-1,101.25320754716981,,98.86188679245284,,+ 3ma 5ma:change
3,-1,1,,98.86666666666667,,101.20707070707071,△ 3ma 5ma:change
4,1,1,101.30714285714286,,99.00914285714285,,+ 3ma 5ma:change
5,1,1,,99.01063829787232,,100.95106382978724,△ 3ma 5ma:change
