Close,High,Low,Open,Volume,predicted_up_rate,predicted_Low_rate,Close_3ma,Close_3ma_positive,Close_5ma,Close_5ma_positive,Close_10ma,Close_10ma_positive,Close_25ma,Close_25ma_positive,Close_60ma,Close_60ma_positive,Close_100ma,Close_100ma_positive,Close_200ma,Close_200ma_positive
496.283,502.196,487.416,487.416,497284.6653,108.3,95.8,495.3,1,491.0,1,491.0,-1,486.0,-1,556.8,-1,596.6,-1,580.3,-1
481.504,496.283,475.591,487.416,659100.4103,111.7,100.0,491.4,-1,491.0,-1,488.0,-1,486.5,1,554.2,-1,595.0,-1,580.2,-1
502.196,505.152,481.504,481.504,607308.4351,107.1,97.6,493.3,1,493.9,1,486.8,-1,487.9,1,551.9,-1,593.7,-1,580.1,-1
484.46,502.196,484.46,496.283,579886.1267,98.2,96.89999999999999,494.3,-1,498.6,-1,509.0,1,500.2,-1,530.9,-1,582.2,-1,581.4,-1
475.591,487.416,469.678,484.46,763366.2995,100.0,98.8,486.4,-1,492.1,-1,506.3,-1,498.8,-1,527.8,-1,580.7,-1,581.4,-1
475.591,481.504,469.678,472.634,594107.1268,98.8,98.8,478.5,-1,486.8,-1,502.2,-1,497.7,-1,524.8,-1,579.0,-1,581.3,-1
469.678,481.504,469.678,478.547,794848.0746,100.0,98.1,473.6,-1,480.9,-1,495.4,-1,496.2,-1,521.6,-1,577.5,-1,581.2,-1
469.678,472.634,460.84,469.678,418752.3207,96.89999999999999,96.89999999999999,471.6,-1,475.0,-1,489.8,-1,494.9,-1,518.5,-1,575.7,-1,581.1,-1
454.927,469.678,454.927,457.884,537232.7766,103.89999999999999,98.1,464.8,-1,469.1,-1,483.9,-1,492.6,-1,515.3,-1,573.9,-1,581.0,-1
446.058,460.84,446.058,460.84,574810.185,106.0,98.0,456.9,-1,463.2,-1,477.7,-1,489.9,-1,512.7,-1,571.9,-1,580.9,-1
443.104,446.058,437.191,446.058,563976.3628,106.69999999999999,100.69999999999999,448.0,-1,456.7,-1,471.8,-1,488.0,-1,509.9,-1,569.9,-1,580.7,-1
446.058,454.927,446.058,446.058,344276.226,106.0,100.69999999999999,445.1,-1,452.0,-1,466.4,-1,487.2,-1,507.0,-1,567.7,-1,580.6,-1
472.634,472.634,449.014,449.014,309407.2731,100.0,96.3,453.9,1,452.6,1,463.8,-1,487.2,-1,504.9,-1,565.8,-1,580.5,-1
469.678,472.634,454.927,472.634,470206.5431,102.49999999999999,98.1,462.8,1,455.5,1,462.3,-1,486.7,-1,502.7,-1,563.6,-1,580.3,-1
466.721,469.678,460.84,463.797,267770.398,103.8,98.7,469.7,1,459.6,1,461.4,-1,485.9,-1,500.3,-1,561.3,-1,580.0,-1
466.721,472.634,460.84,469.678,313469.9565,105.1,98.1,467.7,-1,464.4,1,460.5,-1,484.8,-1,498.3,-1,559.2,-1,579.7,-1
472.634,475.591,457.884,460.84,430599.4013,103.8,99.4,468.7,1,469.7,1,460.8,1,483.9,-1,496.3,-1,556.9,-1,579.5,-1
481.504,484.46,469.678,469.678,546036.8655,101.8,100.0,473.6,1,471.5,1,462.0,1,483.3,-1,494.7,-1,554.9,-1,579.3,-1
484.46,487.416,481.504,481.504,284696.637,103.69999999999999,100.0,479.5,1,474.4,1,465.0,1,483.4,1,493.3,-1,552.9,-1,579.2,-1
490.373,502.196,484.46,487.416,453955.8097,102.4,96.39999999999999,485.4,1,479.1,1,469.4,1,482.9,-1,492.2,-1,551.1,-1,579.2,-1
472.634,490.373,472.634,487.416,262015.7341,106.3,98.1,482.5,-1,480.3,1,472.3,1,481.1,-1,490.4,-1,549.0,-1,579.0,-1
487.416,487.416,463.797,463.797,656729.7075,103.0,99.4,483.5,1,483.3,1,476.5,1,479.1,-1,489.3,-1,547.1,-1,578.8,-1
502.196,508.081,484.46,496.283,1291457.234,98.2,97.1,487.4,1,487.4,1,479.4,1,478.2,-1,488.5,-1,545.4,-1,578.6,-1
487.416,505.152,487.416,505.152,572101.7295,101.2,100.0,492.3,1,488.0,1,481.2,1,477.1,-1,487.8,-1,543.5,-1,578.4,-1
493.329,496.283,487.416,487.416,428904.204,100.0,97.0,494.3,1,488.6,1,483.9,1,476.5,-1,486.9,-1,541.7,-1,578.2,-1
487.416,493.329,478.547,493.329,360523.7427,101.2,100.0,489.4,-1,491.6,1,485.9,1,476.0,-1,486.1,-1,539.8,-1,578.0,-1
493.329,502.196,487.416,487.416,416719.3707,98.8,97.6,491.4,1,492.7,1,488.0,1,475.7,-1,485.7,-1,537.8,-1,577.9,-1
484.46,493.329,481.504,490.373,336150.8593,100.6,97.6,488.4,-1,489.2,-1,488.3,1,475.1,-1,485.2,-1,535.8,-1,577.7,-1
472.634,484.46,472.634,481.504,308053.0453,103.1,99.4,483.5,-1,486.2,-1,487.1,-1,474.6,-1,485.3,1,533.7,-1,577.4,-1
472.634,481.504,469.678,469.678,324641.5315,103.1,100.0,476.6,-1,482.1,-1,485.3,-1,474.5,-1,485.4,1,531.9,-1,577.1,-1
487.416,487.416,472.634,472.634,299252.1731,99.4,96.39999999999999,477.6,1,482.1,-1,486.8,1,475.0,1,485.1,-1,530.5,-1,576.9,-1
469.678,481.504,469.678,475.591,415702.8957,103.1,100.6,476.6,-1,477.4,-1,485.1,-1,475.0,-1,485.3,1,529.0,-1,576.6,-1
472.634,481.504,472.634,481.504,1515895.56,102.49999999999999,100.0,476.6,-1,475.0,-1,482.1,-1,475.1,1,485.3,-1,527.5,-1,576.1,-1
472.634,481.504,472.634,475.591,259645.0313,105.0,100.0,471.6,-1,475.0,-1,480.6,-1,475.8,1,485.5,1,525.8,-1,575.6,-1
484.46,484.46,472.634,475.591,381174.9122,102.4,97.6,476.6,1,477.4,1,479.7,-1,477.4,1,486.1,1,524.3,-1,575.1,-1
478.547,484.46,472.634,478.547,368649.1094,103.69999999999999,97.5,478.5,1,475.6,-1,478.8,-1,478.8,1,486.6,1,522.8,-1,574.7,-1
475.591,487.416,466.721,472.634,1031812.203,104.4,99.4,479.5,1,476.8,1,477.1,-1,480.0,1,486.3,-1,521.3,-1,574.2,-1
496.283,496.283,472.634,478.547,887263.6665,104.2,97.0,483.5,1,481.5,1,478.3,1,480.9,1,486.4,1,519.8,-1,573.9,-1
493.329,493.329,481.504,481.504,193294.3033,104.80000000000001,97.0,488.4,1,485.6,1,480.3,1,481.9,1,486.2,-1,518.3,-1,573.6,-1
478.547,496.283,478.547,496.283,179755.2422,110.5,100.6,489.4,1,484.5,-1,480.9,1,482.3,1,485.7,-1,516.4,-1,573.2,-1
493.329,493.329,481.504,484.46,245089.4952,107.2,100.0,488.4,-1,487.4,1,481.5,1,483.4,1,485.5,-1,514.7,-1,572.9,-1
516.947,516.947,493.329,496.283,332425.9287,102.3,97.1,496.3,1,495.7,1,486.2,1,485.2,1,485.7,1,513.3,-1,572.8,-1
516.947,516.947,502.196,508.081,241026.8118,102.3,98.9,509.1,1,499.8,1,490.7,1,486.6,1,485.9,1,511.8,-1,572.8,-1
528.773,534.686,511.034,516.947,549417.6099,99.4,97.2,520.9,1,506.9,1,496.3,1,488.4,1,486.2,1,510.6,-1,572.8,-1
513.991,528.773,513.991,525.817,394038.4678,102.3,100.0,519.9,-1,514.0,1,499.2,1,489.3,1,486.2,-1,509.1,-1,572.8,-1
522.86,528.773,513.991,516.947,251860.6341,100.6,100.0,521.9,1,519.9,1,503.7,1,491.3,1,486.8,1,507.8,-1,572.7,-1
525.817,534.686,522.86,531.73,403180.3095,98.9,97.2,520.9,-1,521.7,1,508.7,1,492.8,1,487.8,1,506.4,-1,572.7,-1
519.904,531.73,511.034,528.773,476636.7125,101.1,95.5,522.9,1,522.3,1,511.0,1,493.6,1,488.5,1,505.1,-1,572.3,-1
511.034,516.947,496.283,499.239,208866.3145,105.80000000000001,98.3,518.9,-1,518.7,-1,512.8,1,494.5,1,489.0,1,503.7,-1,572.0,-1
505.152,513.991,502.196,508.081,231209.4646,107.0,100.0,512.0,-1,517.0,-1,515.5,1,495.0,1,489.3,1,502.7,-1,571.7,-1
508.081,511.034,505.152,511.034,148948.9727,107.0,100.0,508.1,-1,514.0,-1,517.0,1,495.8,1,489.6,1,501.7,-1,571.2,-1
525.817,525.817,508.081,516.947,182463.6978,103.4,98.3,513.0,1,514.0,-1,517.8,1,497.1,1,490.1,1,500.8,-1,570.9,-1
540.599,552.393,516.947,519.904,406564.2706,100.49999999999999,97.8,524.8,1,518.1,1,520.2,1,499.3,1,490.8,1,500.2,-1,570.8,-1
528.773,552.393,528.773,552.393,215299.7006,102.8,98.3,531.7,1,521.7,1,520.2,-1,501.6,1,491.6,1,499.4,-1,570.5,-1
543.555,543.555,519.904,531.73,220037.8895,100.0,97.8,537.6,1,529.4,1,523.2,1,504.4,1,492.3,1,498.8,-1,570.5,-1
543.555,546.512,531.73,540.599,211237.0173,98.9,96.2,538.6,1,536.5,1,525.2,1,506.7,1,492.7,1,498.3,-1,570.4,-1
531.73,540.599,522.86,531.73,507105.2293,101.1,100.0,539.6,1,537.6,1,525.8,1,509.2,1,492.6,-1,497.7,-1,570.2,-1
537.643,540.599,531.73,540.599,408594.004,97.8,97.3,537.6,-1,537.1,-1,527.6,1,511.8,1,492.8,1,497.3,-1,570.0,-1
525.817,531.73,522.86,528.773,334458.8788,99.4,98.3,531.7,-1,536.5,-1,529.1,1,513.9,1,493.0,1,496.9,-1,569.7,-1
522.86,531.73,516.947,516.947,239672.584,98.9,98.9,528.8,-1,532.3,-1,530.8,1,515.4,1,493.3,1,496.6,-1,569.3,-1
