,Close_3ma_positive,Close_5ma_positive,Close_10ma_positive,Close_15ma_positive,Close_25ma_positive,Close_60ma_positive,Close_80ma_positive,Close_100ma_positive,Close_200ma_positive,ó\ëzè„è∏ó¶,ó\ëzâ∫óéó¶,óÇì˙ÇÃç≈à¿íl,óÇì˙ÇÃç≈çÇíl,ÉgÉäÉKÅ[
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,106.35,,97.15,,+ 3ma 5ma:change
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,99.1,,104.0,Å¢ 3ma 5ma:change
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,,100.49999999999999,,102.4,Å¢ 3ma 10ma:change
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,,98.85,,102.6,Å¢ 3ma 15ma:change
4,-1,-1,-1,-1,-1,-1,-1,-1,-1,,95.6,,101.85,Å¢ 3ma 25ma:change
5,-1,-1,-1,-1,-1,-1,-1,-1,-1,102.49999999999999,,98.3,,+ 5ma 10ma:change
6,-1,-1,-1,-1,-1,-1,-1,-1,-1,,97.85,,102.14999999999999,Å¢ 5ma 10ma:change
7,-1,-1,-1,-1,-1,-1,-1,-1,-1,,95.46666666666665,,100.2,Å¢ 5ma 15ma:change
8,-1,-1,-1,-1,-1,-1,-1,-1,-1,,101.5,,103.46666666666668,Å¢ 5ma 25ma:change
9,-1,-1,-1,-1,-1,-1,-1,-1,-1,,94.5,,98.6,Å¢ 5ma 60ma:change
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,,97.2,,102.8,Å¢ 5ma 80ma:change
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,,97.2,,102.8,Å¢ 5ma 100ma:change
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,,100.14999999999999,,103.64999999999999,Å¢ 10ma 15ma:change
13,-1,-1,-1,-1,-1,-1,-1,-1,-1,,97.55,,105.35,Å¢ 10ma 25ma:change
14,-1,-1,-1,-1,-1,-1,-1,-1,-1,,99.2,,103.60000000000001,Å¢ 10ma 60ma:change
15,-1,-1,-1,-1,-1,-1,-1,-1,-1,,94.5,,98.6,Å¢ 10ma 80ma:change
16,-1,-1,-1,-1,-1,-1,-1,-1,-1,101.4,,94.6,,+ 15ma 25ma:change
17,-1,-1,-1,-1,-1,-1,-1,-1,-1,,97.55,,100.85,Å¢ 15ma 25ma:change
18,-1,-1,-1,-1,-1,-1,-1,-1,-1,,87.6,,101.1,Å¢ 15ma 60ma:change
19,-1,-1,-1,-1,-1,-1,-1,-1,-1,,94.6,,99.1,Å¢ 15ma 80ma:change
20,-1,-1,-1,-1,-1,-1,-1,-1,-1,,92.9,,100.35,Å¢ 25ma 60ma:change
21,-1,-1,-1,-1,-1,-1,-1,-1,-1,,93.8,,99.65,Å¢ 25ma 80ma:change
22,-1,-1,-1,-1,-1,-1,-1,-1,-1,,99.0,,101.4,Å¢ 25ma 100ma:change
23,-1,-1,-1,-1,-1,-1,-1,-1,-1,87.4,,86.2,,+ 60ma 80ma:change
24,-1,-1,-1,-1,-1,-1,-1,-1,-1,,94.0,,106.0,Å¢ 60ma 80ma:change
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,103.2,,98.7,,+ 80ma 100ma:change
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,,95.6,,99.0,Å¢ 100ma 200ma:change
27,1,-1,-1,-1,-1,-1,-1,-1,-1,,98.2,,99.7,Å¢ 5ma 10ma:change
28,-1,-1,1,-1,-1,-1,-1,-1,-1,,105.5,,106.60000000000001,Å¢ 3ma 5ma:change
29,-1,-1,-1,1,-1,-1,-1,-1,-1,,92.7,,101.4,Å¢ 3ma 5ma:change
30,-1,-1,-1,1,-1,-1,-1,-1,-1,,93.26666666666667,,103.0,Å¢ 3ma 10ma:change
31,-1,-1,-1,1,-1,-1,-1,-1,-1,,95.25,,103.14999999999999,Å¢ 3ma 15ma:change
32,-1,-1,-1,1,-1,-1,-1,-1,-1,,96.95,,102.5,Å¢ 3ma 25ma:change
33,-1,-1,-1,1,-1,-1,-1,-1,-1,,92.55,,102.19999999999999,Å¢ 5ma 10ma:change
34,-1,-1,-1,1,-1,-1,-1,-1,-1,,103.05,,104.85,Å¢ 5ma 15ma:change
35,-1,-1,-1,1,-1,-1,-1,-1,-1,,89.7,,104.69999999999999,Å¢ 5ma 60ma:change
36,-1,-1,-1,-1,1,-1,-1,-1,-1,,103.05000000000001,,106.70000000000002,Å¢ 3ma 5ma:change
37,-1,-1,-1,-1,1,-1,-1,-1,-1,,98.5,,102.2,Å¢ 3ma 10ma:change
38,-1,-1,-1,-1,1,-1,-1,-1,-1,,98.5,,102.2,Å¢ 3ma 15ma:change
39,-1,-1,-1,-1,1,-1,-1,-1,-1,,101.73333333333333,,105.53333333333335,Å¢ 3ma 25ma:change
40,-1,-1,-1,-1,1,-1,-1,-1,-1,100.69999999999999,,99.4,,+ 3ma 60ma:change
41,-1,-1,-1,-1,1,-1,-1,-1,-1,,101.49999999999999,,102.8,Å¢ 3ma 60ma:change
42,-1,-1,-1,-1,1,-1,-1,-1,-1,100.69999999999999,,99.4,,+ 3ma 80ma:change
43,-1,-1,-1,-1,1,-1,-1,-1,-1,,98.19999999999999,,104.65,Å¢ 3ma 80ma:change
44,-1,-1,-1,-1,1,-1,-1,-1,-1,,98.5,,102.2,Å¢ 3ma 100ma:change
45,-1,-1,-1,-1,1,-1,-1,-1,-1,,98.5,,102.2,Å¢ 3ma 200ma:change
46,-1,-1,-1,-1,1,-1,-1,-1,-1,,100.65,,106.05,Å¢ 5ma 10ma:change
47,-1,-1,-1,-1,1,-1,-1,-1,-1,,101.73333333333333,,105.53333333333335,Å¢ 5ma 15ma:change
48,-1,-1,-1,-1,1,-1,-1,-1,-1,100.69999999999999,,99.4,,+ 5ma 25ma:change
49,-1,-1,-1,-1,1,-1,-1,-1,-1,,97.8,,100.89999999999999,Å¢ 5ma 25ma:change
50,-1,-1,-1,-1,1,-1,-1,-1,-1,100.69999999999999,,99.4,,+ 5ma 60ma:change
51,-1,-1,-1,-1,1,-1,-1,-1,-1,,100.29999999999998,,102.1,Å¢ 5ma 60ma:change
52,-1,-1,-1,-1,1,-1,-1,-1,-1,100.69999999999999,,99.4,,+ 5ma 80ma:change
53,-1,-1,-1,-1,1,-1,-1,-1,-1,,100.29999999999998,,102.1,Å¢ 5ma 80ma:change
54,-1,-1,-1,-1,1,-1,-1,-1,-1,,98.5,,102.2,Å¢ 5ma 100ma:change
55,-1,-1,-1,-1,1,-1,-1,-1,-1,,98.5,,102.2,Å¢ 5ma 200ma:change
56,-1,-1,-1,-1,1,-1,-1,-1,-1,,98.55,,105.30000000000001,Å¢ 10ma 15ma:change
57,-1,-1,-1,-1,1,-1,-1,-1,-1,100.69999999999999,,99.4,,+ 10ma 25ma:change
58,-1,-1,-1,-1,1,-1,-1,-1,-1,,101.49999999999999,,102.8,Å¢ 10ma 25ma:change
59,-1,-1,-1,-1,1,-1,-1,-1,-1,105.95,,100.9,,+ 10ma 60ma:change
60,-1,-1,-1,-1,1,-1,-1,-1,-1,100.69999999999999,,99.4,,+ 10ma 80ma:change
61,-1,-1,-1,-1,1,-1,-1,-1,-1,100.69999999999999,,99.4,,+ 10ma 100ma:change
62,-1,-1,-1,-1,1,-1,-1,-1,-1,,101.49999999999999,,102.8,Å¢ 10ma 100ma:change
63,-1,-1,-1,-1,1,-1,-1,-1,-1,,98.5,,102.2,Å¢ 10ma 200ma:change
64,-1,-1,-1,-1,1,-1,-1,-1,-1,100.69999999999999,,99.4,,+ 15ma 25ma:change
65,-1,-1,-1,-1,1,-1,-1,-1,-1,,101.49999999999999,,102.8,Å¢ 15ma 25ma:change
66,-1,-1,-1,-1,1,-1,-1,-1,-1,100.69999999999999,,99.4,,+ 15ma 60ma:change
67,-1,-1,-1,-1,1,-1,-1,-1,-1,100.69999999999999,,99.4,,+ 15ma 80ma:change
68,-1,-1,-1,-1,1,-1,-1,-1,-1,100.69999999999999,,99.4,,+ 15ma 100ma:change
69,-1,-1,-1,-1,1,-1,-1,-1,-1,,100.29999999999998,,102.1,Å¢ 15ma 100ma:change
70,-1,-1,-1,-1,1,-1,-1,-1,-1,,98.5,,102.2,Å¢ 15ma 200ma:change
71,-1,-1,-1,-1,1,-1,-1,-1,-1,100.69999999999999,,99.4,,+ 25ma 60ma:change
72,-1,-1,-1,-1,1,-1,-1,-1,-1,100.69999999999999,,99.4,,+ 25ma 80ma:change
73,-1,-1,-1,-1,1,-1,-1,-1,-1,103.69999999999999,,100.69999999999999,,+ 25ma 100ma:change
74,-1,-1,-1,-1,1,-1,-1,-1,-1,,98.5,,102.2,Å¢ 25ma 100ma:change
75,-1,-1,-1,-1,1,-1,-1,-1,-1,,98.5,,102.2,Å¢ 25ma 200ma:change
76,-1,-1,-1,-1,1,-1,-1,-1,-1,,98.5,,102.2,Å¢ 60ma 80ma:change
77,-1,-1,-1,-1,1,-1,-1,-1,-1,,98.5,,102.2,Å¢ 60ma 100ma:change
78,-1,-1,-1,-1,1,-1,-1,-1,-1,,98.5,,102.2,Å¢ 60ma 200ma:change
79,-1,-1,-1,-1,1,-1,-1,-1,-1,,98.5,,102.2,Å¢ 80ma 100ma:change
80,-1,-1,-1,-1,1,-1,-1,-1,-1,,98.5,,102.2,Å¢ 80ma 200ma:change
81,-1,-1,-1,-1,1,-1,-1,-1,-1,,98.5,,102.2,Å¢ 100ma 200ma:change
82,-1,-1,-1,-1,-1,-1,1,-1,-1,,95.6,,105.3,Å¢ 10ma 60ma:change
83,-1,-1,-1,-1,-1,-1,-1,1,-1,,112.4,,112.7,Å¢ 3ma 200ma:change
84,-1,-1,-1,-1,-1,-1,-1,1,-1,,96.2,,101.0,Å¢ 15ma 100ma:change
85,-1,-1,-1,-1,-1,-1,-1,-1,1,,93.85,,101.05,Å¢ 3ma 5ma:change
86,-1,-1,-1,-1,-1,-1,-1,-1,1,,92.69999999999999,,98.9,Å¢ 3ma 10ma:change
87,-1,-1,-1,-1,-1,-1,-1,-1,1,,92.69999999999999,,98.9,Å¢ 3ma 15ma:change
88,-1,-1,-1,-1,-1,-1,-1,-1,1,,99.4,,101.925,Å¢ 3ma 200ma:change
89,-1,-1,-1,-1,-1,-1,-1,-1,1,,94.44999999999999,,98.6,Å¢ 5ma 10ma:change
90,-1,-1,-1,-1,-1,-1,-1,-1,1,,96.8,,101.89999999999999,Å¢ 5ma 15ma:change
91,-1,-1,-1,-1,-1,-1,-1,-1,1,,99.73333333333333,,101.60000000000001,Å¢ 5ma 200ma:change
92,-1,-1,-1,-1,-1,-1,-1,-1,1,,98.55000000000001,,105.1,Å¢ 10ma 15ma:change
93,-1,-1,-1,-1,-1,-1,-1,-1,1,,102.49999999999999,,105.80000000000001,Å¢ 10ma 100ma:change
94,-1,-1,-1,-1,-1,-1,-1,-1,1,,91.5,,96.39999999999999,Å¢ 10ma 200ma:change
95,-1,-1,-1,-1,-1,-1,-1,-1,1,,102.49999999999999,,105.80000000000001,Å¢ 15ma 25ma:change
96,-1,-1,-1,-1,-1,-1,-1,-1,1,,103.0,,103.4,Å¢ 15ma 60ma:change
97,-1,-1,-1,-1,-1,-1,-1,-1,1,,103.0,,103.4,Å¢ 15ma 80ma:change
98,-1,-1,-1,-1,-1,-1,-1,-1,1,,91.5,,96.39999999999999,Å¢ 15ma 200ma:change
99,-1,-1,-1,-1,-1,-1,-1,-1,1,,93.89999999999999,,101.4,Å¢ 25ma 60ma:change
100,-1,-1,-1,-1,-1,-1,-1,-1,1,,97.39999999999999,,100.8,Å¢ 25ma 80ma:change
101,-1,-1,-1,-1,-1,-1,-1,-1,1,,97.5,,99.3,Å¢ 25ma 200ma:change
102,-1,-1,-1,-1,-1,-1,-1,-1,1,,106.0,,107.1,Å¢ 60ma 200ma:change
103,1,1,-1,-1,-1,-1,-1,-1,-1,107.60000000000001,,101.49999999999999,,+ 3ma 5ma:change
104,1,1,-1,-1,-1,-1,-1,-1,-1,100.29999999999998,,98.5,,+ 3ma 10ma:change
105,1,1,-1,-1,-1,-1,-1,-1,-1,108.80000000000001,,99.6,,+ 5ma 10ma:change
106,1,-1,-1,1,-1,-1,-1,-1,-1,104.5,,100.4,,+ 3ma 5ma:change
107,1,-1,-1,-1,1,-1,-1,-1,-1,111.9,,103.2,,+ 3ma 5ma:change
108,1,-1,-1,-1,-1,-1,-1,-1,1,111.45,,97.65,,+ 3ma 5ma:change
109,1,-1,-1,-1,-1,-1,-1,-1,1,,96.8,,100.1,Å¢ 5ma 200ma:change
110,-1,1,1,-1,-1,-1,-1,-1,-1,,100.0,,105.1,Å¢ 3ma 5ma:change
111,-1,1,1,-1,-1,-1,-1,-1,-1,108.2,,98.1,,+ 5ma 15ma:change
112,-1,1,-1,1,-1,-1,-1,-1,-1,102.2,,99.3,,+ 15ma 80ma:change
113,-1,1,-1,-1,-1,-1,-1,-1,1,,101.1,,103.0,Å¢ 3ma 5ma:change
114,-1,-1,1,1,-1,-1,-1,-1,-1,,96.5,,103.8,Å¢ 3ma 5ma:change
115,-1,-1,1,-1,1,-1,-1,-1,-1,,100.2,,101.29999999999998,Å¢ 3ma 10ma:change
116,-1,-1,1,-1,1,-1,-1,-1,-1,,100.2,,101.29999999999998,Å¢ 3ma 15ma:change
117,-1,-1,1,-1,1,-1,-1,-1,-1,,100.2,,101.29999999999998,Å¢ 3ma 80ma:change
118,-1,-1,1,-1,-1,-1,-1,-1,1,,94.06666666666666,,99.2,Å¢ 3ma 5ma:change
119,-1,-1,1,-1,-1,-1,-1,-1,1,,102.3,,107.5,Å¢ 3ma 10ma:change
120,-1,-1,1,-1,-1,-1,-1,-1,1,,101.0,,102.89999999999999,Å¢ 3ma 15ma:change
121,-1,-1,1,-1,-1,-1,-1,-1,1,,99.5,,104.89999999999999,Å¢ 3ma 200ma:change
122,-1,-1,1,-1,-1,-1,-1,-1,1,105.69999999999999,,100.1,,+ 5ma 15ma:change
123,-1,-1,1,-1,-1,-1,-1,-1,1,87.6,,86.5,,+ 10ma 15ma:change
124,-1,-1,1,-1,-1,-1,-1,-1,1,87.6,,86.5,,+ 10ma 200ma:change
125,-1,-1,1,-1,-1,-1,-1,-1,1,,99.5,,104.89999999999999,Å¢ 15ma 200ma:change
126,-1,-1,-1,-1,1,1,-1,-1,-1,,87.6,,102.2,Å¢ 3ma 25ma:change
127,-1,-1,-1,-1,1,1,-1,-1,-1,,88.5,,102.0,Å¢ 3ma 60ma:change
128,-1,-1,-1,-1,1,1,-1,-1,-1,,94.25,,101.9,Å¢ 3ma 80ma:change
129,-1,-1,-1,-1,1,1,-1,-1,-1,94.6,,94.0,,+ 5ma 10ma:change
130,-1,-1,-1,-1,1,1,-1,-1,-1,,88.5,,102.0,Å¢ 5ma 10ma:change
131,-1,-1,-1,-1,1,1,-1,-1,-1,,88.5,,102.0,Å¢ 5ma 25ma:change
132,-1,-1,-1,-1,1,1,-1,-1,-1,,96.39999999999999,,101.2,Å¢ 5ma 60ma:change
133,-1,-1,-1,-1,1,1,-1,-1,-1,,92.44999999999999,,101.6,Å¢ 5ma 80ma:change
134,-1,-1,-1,-1,1,1,-1,-1,-1,,88.5,,102.0,Å¢ 10ma 25ma:change
135,-1,-1,-1,-1,1,1,-1,-1,-1,,100.89999999999999,,101.6,Å¢ 15ma 25ma:change
136,-1,-1,-1,-1,1,-1,-1,-1,1,,98.3,,101.8,Å¢ 10ma 25ma:change
137,-1,-1,-1,-1,1,-1,-1,-1,1,,98.3,,101.8,Å¢ 10ma 60ma:change
138,-1,-1,-1,-1,1,-1,-1,-1,1,,98.3,,101.8,Å¢ 10ma 80ma:change
139,-1,-1,-1,-1,1,-1,-1,-1,1,,98.3,,101.8,Å¢ 10ma 100ma:change
140,-1,-1,-1,-1,1,-1,-1,-1,1,99.1,,97.6,,+ 25ma 80ma:change
141,-1,-1,-1,-1,-1,1,1,-1,-1,109.4,,99.1,,+ 3ma 5ma:change
142,-1,-1,-1,-1,-1,1,1,-1,-1,,104.89999999999999,,105.2,Å¢ 3ma 5ma:change
143,-1,-1,-1,-1,-1,1,1,-1,-1,,93.60000000000001,,99.3,Å¢ 3ma 10ma:change
144,-1,-1,-1,-1,-1,1,1,-1,-1,,93.60000000000001,,99.3,Å¢ 3ma 80ma:change
