,Close_3ma_positive,Close_5ma_positive,Close_10ma_positive,Close_15ma_positive,Close_25ma_positive,Close_60ma_positive,Close_80ma_positive,Close_100ma_positive,Close_200ma_positive,ó\ëzè„è∏ó¶,ó\ëzâ∫óéó¶,óÇì˙ÇÃç≈à¿íl,óÇì˙ÇÃç≈çÇíl,ÉgÉäÉKÅ[
0,-1,-1,-1,-1,-1,-1,-1,1,-1,,100.2,,100.69999999999999,Å¢ 3ma 10ma:change
1,-1,-1,-1,-1,-1,-1,-1,1,-1,,100.2,,100.69999999999999,Å¢ 3ma 60ma:change
2,-1,-1,-1,-1,-1,-1,-1,1,-1,,100.2,,100.69999999999999,Å¢ 5ma 15ma:change
3,-1,-1,-1,-1,-1,-1,-1,-1,1,,100.0,,100.6,Å¢ 3ma 5ma:change
4,-1,-1,-1,-1,-1,-1,-1,-1,1,,100.0,,100.6,Å¢ 10ma 80ma:change
5,-1,-1,-1,-1,-1,-1,-1,-1,1,,99.5,,100.6,Å¢ 10ma 100ma:change
6,-1,-1,-1,-1,-1,-1,-1,-1,1,,99.5,,100.6,Å¢ 15ma 60ma:change
7,-1,-1,-1,-1,1,1,-1,-1,-1,,100.29999999999998,,101.0,Å¢ 5ma 15ma:change
8,-1,-1,-1,-1,-1,-1,1,1,-1,,101.29999999999998,,101.29999999999998,Å¢ 3ma 80ma:change
9,-1,-1,-1,-1,-1,-1,1,1,-1,,101.29999999999998,,101.29999999999998,Å¢ 5ma 60ma:change
10,-1,-1,-1,-1,-1,-1,-1,1,1,,99.8,,102.4,Å¢ 15ma 80ma:change
11,-1,-1,-1,-1,-1,-1,-1,1,1,,100.0,,100.29999999999998,Å¢ 15ma 100ma:change
12,1,-1,-1,-1,-1,-1,-1,1,1,,99.5,,100.2,Å¢ 5ma 15ma:change
13,1,-1,-1,-1,-1,-1,-1,1,1,,99.5,,100.2,Å¢ 25ma 80ma:change
14,-1,-1,-1,-1,1,1,-1,1,-1,,99.5,,101.29999999999998,Å¢ 3ma 5ma:change
15,-1,-1,-1,-1,1,1,-1,1,-1,,99.5,,101.29999999999998,Å¢ 3ma 10ma:change
16,-1,-1,-1,-1,1,1,-1,1,-1,,99.5,,101.29999999999998,Å¢ 3ma 200ma:change
17,-1,-1,-1,-1,1,1,-1,1,-1,,99.5,,101.29999999999998,Å¢ 5ma 200ma:change
18,-1,-1,-1,-1,-1,1,1,1,-1,,99.5,,99.8,Å¢ 3ma 5ma:change
19,-1,-1,-1,-1,-1,1,1,1,-1,,99.5,,99.8,Å¢ 3ma 15ma:change
20,-1,-1,-1,-1,-1,1,1,1,-1,,99.5,,99.8,Å¢ 3ma 25ma:change
21,-1,-1,-1,-1,-1,1,1,1,-1,,99.5,,100.69999999999999,Å¢ 3ma 200ma:change
22,-1,-1,-1,-1,-1,1,1,1,-1,100.2,,99.8,,+ 5ma 15ma:change
23,-1,-1,-1,-1,-1,1,1,1,-1,,99.5,,99.8,Å¢ 5ma 25ma:change
24,-1,-1,-1,-1,-1,1,1,1,-1,,99.5,,100.69999999999999,Å¢ 15ma 25ma:change
25,-1,-1,-1,-1,-1,-1,1,1,1,100.89999999999999,,100.89999999999999,,+ 3ma 5ma:change
26,-1,-1,-1,-1,-1,-1,1,1,1,,101.1,,103.49999999999999,Å¢ 25ma 60ma:change
