,Close_3ma_positive,Close_5ma_positive,Close_10ma_positive,Close_15ma_positive,Close_25ma_positive,Close_60ma_positive,Close_80ma_positive,Close_100ma_positive,Close_200ma_positive,ó\ëzè„è∏ó¶,ó\ëzâ∫óéó¶,óÇì˙ÇÃç≈à¿íl,óÇì˙ÇÃç≈çÇíl,ÉgÉäÉKÅ[
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,108.60000000000001,,95.5,,+ 3ma 5ma:change
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,100.76666666666665,,106.39999999999999,Å¢ 3ma 5ma:change
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,,89.9,,97.5,Å¢ 3ma 10ma:change
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,,103.69999999999999,,104.5,Å¢ 3ma 15ma:change
4,-1,-1,-1,-1,-1,-1,-1,-1,-1,,92.7,,100.89999999999999,Å¢ 3ma 60ma:change
5,-1,-1,-1,-1,-1,-1,-1,-1,-1,,89.9,,97.5,Å¢ 5ma 10ma:change
6,-1,-1,-1,-1,-1,-1,-1,-1,-1,,96.8,,101.0,Å¢ 5ma 15ma:change
7,-1,-1,-1,-1,-1,-1,-1,-1,-1,,92.4,,106.2,Å¢ 5ma 60ma:change
8,-1,-1,-1,-1,-1,-1,-1,-1,-1,98.9,,94.89999999999999,,+ 10ma 15ma:change
9,-1,-1,-1,-1,-1,-1,-1,-1,-1,,95.1,,103.8,Å¢ 10ma 15ma:change
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,,96.6,,99.5,Å¢ 10ma 60ma:change
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,,98.8,,99.5,Å¢ 15ma 60ma:change
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,,92.4,,106.2,Å¢ 15ma 80ma:change
13,-1,-1,-1,-1,-1,-1,-1,-1,-1,,94.8,,100.6,Å¢ 25ma 200ma:change
14,-1,-1,-1,-1,-1,-1,-1,-1,-1,99.3,,96.0,,+ 60ma 100ma:change
15,-1,-1,-1,-1,-1,-1,-1,-1,-1,,93.2,,102.49999999999999,Å¢ 60ma 100ma:change
16,-1,-1,-1,-1,-1,-1,-1,-1,-1,,95.39999999999999,,98.8,Å¢ 80ma 100ma:change
17,-1,-1,-1,-1,-1,-1,-1,-1,-1,,92.0,,101.29999999999998,Å¢ 80ma 200ma:change
18,1,-1,-1,-1,-1,-1,-1,-1,-1,93.0,,91.4,,+ 3ma 5ma:change
19,1,-1,-1,-1,-1,-1,-1,-1,-1,,84.1,,98.9,Å¢ 60ma 80ma:change
20,1,-1,-1,-1,-1,-1,-1,-1,-1,,108.2,,111.20000000000002,Å¢ 100ma 200ma:change
21,-1,1,-1,-1,-1,-1,-1,-1,-1,,94.39999999999999,,101.36666666666667,Å¢ 3ma 5ma:change
22,-1,1,-1,-1,-1,-1,-1,-1,-1,,89.2,,100.4,Å¢ 3ma 10ma:change
23,-1,1,-1,-1,-1,-1,-1,-1,-1,92.7,,91.2,,+ 25ma 80ma:change
24,-1,-1,1,-1,-1,-1,-1,-1,-1,,101.2,,112.3,Å¢ 3ma 10ma:change
25,-1,-1,1,-1,-1,-1,-1,-1,-1,,96.5,,104.4,Å¢ 3ma 15ma:change
26,-1,-1,1,-1,-1,-1,-1,-1,-1,,104.89999999999999,,106.4,Å¢ 3ma 25ma:change
27,-1,-1,1,-1,-1,-1,-1,-1,-1,,97.39999999999999,,103.2,Å¢ 5ma 15ma:change
28,-1,-1,1,-1,-1,-1,-1,-1,-1,112.69999999999999,,102.75,,+ 10ma 15ma:change
29,-1,-1,-1,-1,1,-1,-1,-1,-1,,100.89999999999999,,103.2,Å¢ 3ma 25ma:change
30,-1,-1,-1,-1,1,-1,-1,-1,-1,,95.6,,98.4,Å¢ 5ma 10ma:change
31,-1,-1,-1,-1,1,-1,-1,-1,-1,,94.39999999999999,,101.1,Å¢ 5ma 15ma:change
32,-1,-1,-1,-1,1,-1,-1,-1,-1,,100.89999999999999,,103.2,Å¢ 5ma 25ma:change
