,Close_3ma_positive,Close_5ma_positive,Close_10ma_positive,Close_15ma_positive,Close_25ma_positive,Close_60ma_positive,Close_80ma_positive,Close_100ma_positive,Close_200ma_positive,ó\ëzè„è∏ó¶,ó\ëzâ∫óéó¶,óÇì˙ÇÃç≈à¿íl,óÇì˙ÇÃç≈çÇíl,ÉgÉäÉKÅ[
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,,97.0,,100.25,Å¢ 3ma 5ma:change
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,100.1,,100.29999999999998,Å¢ 3ma 10ma:change
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,,100.1,,100.29999999999998,Å¢ 3ma 15ma:change
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,,100.1,,100.29999999999998,Å¢ 3ma 25ma:change
4,-1,-1,-1,-1,-1,-1,-1,-1,-1,,100.1,,100.29999999999998,Å¢ 3ma 100ma:change
5,-1,-1,-1,-1,-1,-1,-1,-1,-1,,100.1,,100.29999999999998,Å¢ 5ma 10ma:change
6,-1,-1,-1,-1,-1,-1,-1,-1,-1,,95.3,,100.49999999999999,Å¢ 10ma 60ma:change
7,-1,-1,-1,-1,-1,-1,-1,-1,-1,,100.49999999999999,,101.49999999999999,Å¢ 15ma 25ma:change
8,-1,-1,-1,-1,-1,-1,-1,-1,-1,,92.5,,99.4,Å¢ 15ma 60ma:change
9,-1,-1,-1,-1,-1,-1,-1,-1,-1,,93.5,,99.0,Å¢ 15ma 80ma:change
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,,100.49999999999999,,101.49999999999999,Å¢ 15ma 100ma:change
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,,101.29999999999998,,101.49999999999999,Å¢ 25ma 60ma:change
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,,98.8,,101.2,Å¢ 25ma 80ma:change
13,1,-1,-1,-1,-1,-1,-1,-1,-1,99.73333333333333,,98.53333333333335,,+ 3ma 5ma:change
14,1,-1,-1,-1,-1,-1,-1,-1,-1,,98.9,,99.6,Å¢ 10ma 25ma:change
15,1,-1,-1,-1,-1,-1,-1,-1,-1,,98.9,,99.6,Å¢ 10ma 100ma:change
16,-1,1,-1,-1,-1,-1,-1,-1,-1,,101.4,,101.6,Å¢ 3ma 5ma:change
17,-1,1,-1,-1,-1,-1,-1,-1,-1,,97.2,,100.49999999999999,Å¢ 10ma 80ma:change
