,Close_3ma_positive,Close_5ma_positive,Close_10ma_positive,Close_15ma_positive,Close_25ma_positive,Close_60ma_positive,Close_80ma_positive,Close_100ma_positive,Close_200ma_positive,ó\ëzè„è∏ó¶,ó\ëzâ∫óéó¶,óÇì˙ÇÃç≈à¿íl,óÇì˙ÇÃç≈çÇíl,ÉgÉäÉKÅ[
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100.0,,96.8,,+ 3ma 5ma:change
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,98.82,,101.75999999999999,Å¢ 3ma 5ma:change
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,,97.725,,100.65,Å¢ 3ma 10ma:change
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,,95.7,,99.16666666666667,Å¢ 3ma 15ma:change
4,-1,-1,-1,-1,-1,-1,-1,-1,-1,,94.5,,97.6,Å¢ 3ma 25ma:change
5,-1,-1,-1,-1,-1,-1,-1,-1,-1,,96.84285714285714,,100.35714285714286,Å¢ 5ma 10ma:change
6,-1,-1,-1,-1,-1,-1,-1,-1,-1,,96.15714285714286,,100.22857142857143,Å¢ 5ma 15ma:change
7,-1,-1,-1,-1,-1,-1,-1,-1,-1,,96.375,,99.25,Å¢ 5ma 25ma:change
8,-1,-1,-1,-1,-1,-1,-1,-1,-1,,88.4,,102.4,Å¢ 5ma 200ma:change
9,-1,-1,-1,-1,-1,-1,-1,-1,-1,100.35,,98.15,,+ 10ma 15ma:change
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,,99.11999999999998,,101.17999999999999,Å¢ 10ma 15ma:change
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,,95.30000000000001,,101.65,Å¢ 10ma 25ma:change
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,,82.69999999999999,,101.29999999999998,Å¢ 10ma 200ma:change
13,-1,-1,-1,-1,-1,-1,-1,-1,-1,105.36666666666667,,100.56666666666666,,+ 15ma 25ma:change
14,-1,-1,-1,-1,-1,-1,-1,-1,-1,,101.49999999999999,,102.1,Å¢ 15ma 25ma:change
15,-1,-1,-1,-1,-1,-1,-1,-1,-1,,104.5,,105.5,Å¢ 15ma 100ma:change
16,-1,-1,-1,-1,-1,-1,-1,-1,-1,,93.0,,102.4,Å¢ 15ma 200ma:change
17,-1,-1,-1,-1,-1,-1,-1,-1,-1,,104.5,,105.5,Å¢ 25ma 60ma:change
18,-1,-1,-1,-1,-1,-1,-1,-1,-1,,82.69999999999999,,101.29999999999998,Å¢ 25ma 100ma:change
19,-1,-1,-1,-1,-1,-1,-1,-1,-1,,97.89999999999999,,101.6,Å¢ 60ma 200ma:change
20,-1,-1,-1,-1,-1,-1,-1,-1,-1,,100.75,,106.05000000000001,Å¢ 80ma 100ma:change
21,-1,-1,-1,-1,-1,-1,-1,-1,-1,,100.4,,103.49999999999999,Å¢ 80ma 200ma:change
22,-1,-1,-1,-1,-1,-1,-1,-1,-1,,100.6,,102.89999999999999,Å¢ 100ma 200ma:change
23,1,-1,-1,-1,-1,-1,-1,-1,-1,102.05,,98.71666666666665,,+ 3ma 5ma:change
24,1,-1,-1,-1,-1,-1,-1,-1,-1,,102.89999999999999,,105.1,Å¢ 10ma 25ma:change
25,1,-1,-1,-1,-1,-1,-1,-1,-1,,96.65,,102.1,Å¢ 15ma 25ma:change
26,-1,1,-1,-1,-1,-1,-1,-1,-1,,99.83333333333333,,100.63333333333333,Å¢ 3ma 5ma:change
27,-1,1,-1,-1,-1,-1,-1,-1,-1,,102.3,,102.60000000000001,Å¢ 3ma 25ma:change
28,-1,1,-1,-1,-1,-1,-1,-1,-1,105.60000000000001,,101.8,,+ 5ma 10ma:change
29,-1,1,-1,-1,-1,-1,-1,-1,-1,102.73333333333333,,98.03333333333335,,+ 5ma 15ma:change
30,-1,1,-1,-1,-1,-1,-1,-1,-1,107.3,,96.8,,+ 5ma 25ma:change
31,-1,-1,1,-1,-1,-1,-1,-1,-1,,93.76666666666665,,103.5,Å¢ 3ma 5ma:change
32,-1,-1,1,-1,-1,-1,-1,-1,-1,,92.125,,99.94999999999999,Å¢ 3ma 10ma:change
33,-1,-1,1,-1,-1,-1,-1,-1,-1,,93.89999999999999,,103.10000000000001,Å¢ 3ma 15ma:change
34,-1,-1,1,-1,-1,-1,-1,-1,-1,,94.3,,100.8,Å¢ 3ma 25ma:change
35,-1,-1,1,-1,-1,-1,-1,-1,-1,,91.05,,99.6,Å¢ 5ma 10ma:change
36,-1,-1,1,-1,-1,-1,-1,-1,-1,96.94999999999999,,96.1,,+ 10ma 15ma:change
37,-1,-1,1,-1,-1,-1,-1,-1,-1,99.5,,98.3,,+ 10ma 25ma:change
38,-1,-1,1,-1,-1,-1,-1,-1,-1,99.5,,98.3,,+ 15ma 25ma:change
39,-1,-1,1,-1,-1,-1,-1,-1,-1,,88.85,,100.94999999999999,Å¢ 60ma 100ma:change
40,-1,-1,-1,1,-1,-1,-1,-1,-1,,96.4,,101.94999999999999,Å¢ 3ma 10ma:change
41,-1,-1,-1,1,-1,-1,-1,-1,-1,,93.7,,100.76666666666665,Å¢ 3ma 15ma:change
42,-1,-1,-1,1,-1,-1,-1,-1,-1,,95.5,,102.0,Å¢ 3ma 25ma:change
43,-1,-1,-1,1,-1,-1,-1,-1,-1,,99.9,,101.8,Å¢ 3ma 200ma:change
44,-1,-1,-1,1,-1,-1,-1,-1,-1,,93.25,,99.39999999999999,Å¢ 5ma 15ma:change
45,-1,-1,-1,1,-1,-1,-1,-1,-1,,93.4,,100.54999999999998,Å¢ 5ma 25ma:change
46,-1,-1,-1,1,-1,-1,-1,-1,-1,,99.9,,101.8,Å¢ 80ma 100ma:change
47,-1,-1,-1,-1,1,-1,-1,-1,-1,,97.3,,101.29999999999998,Å¢ 3ma 25ma:change
48,-1,-1,-1,-1,1,-1,-1,-1,-1,,97.3,,101.29999999999998,Å¢ 5ma 25ma:change
49,-1,-1,-1,-1,-1,-1,-1,1,-1,,103.69999999999999,,103.8,Å¢ 10ma 80ma:change
50,-1,-1,-1,-1,-1,-1,-1,1,-1,,103.69999999999999,,103.8,Å¢ 15ma 25ma:change
